User,Tweet_Count
JetBlueNews,63
kbosspotter,32
_mhertz,29
otisday,28
throthra,27
rossj987,23
weezerandburnie,23
MeeestarCoke,22
GREATNESSEOA,22
scoobydoo9749,21
jasemccarty,20
georgetietjen,19
ElmiraBudMan,19
flemmingerin,19
Aero0729,18
thomashoward88,18
chagaga2013,18
ThatJasonEaton,18
worldwideweg,17
SMHillman,17
patrick_maness,16
arthurhasher,16
heyheyman,16
luvthispayne,15
Allisonjones704,15
geekstiel,14
farfalla818,14
Heavenlychc9,14
riricesq,14
ColtSTaylor,14
Evan_Flay,14
BernardLeCroix,14
alanbestnyc,13
DontenPhoto,13
davidgoodson71,13
urno12,13
Old_bauer,13
gwen1013,12
tannapistolis,12
lj_verde,12
TomFutureforall,12
CLChicosky,12
JackieFerrari3,12
AlMehairiAUH,12
DAngel082,12
agoldenbrown,12
emptynester25,12
MeganStephens74,11
davisesq212,11
Whosgunz,11
nickpasculli,11
smaguire2,11
jacquelinewins6,11
JenRomanoff,11
BritishAirNews,11
MerrickRealtor,11
Trufflebaby2,11
c4pyro,11
HaileyUrban,11
LindsaySweeting,11
CamaroGuySteve,10
Logunov_Daniil,10
urduckcommander,10
edgarsantana,10
djcheros,10
JasonShaw2,10
The5y5Adm1n,10
kbleggett,10
szymanski_t,10
CWWMUK,10
GeorgeMcflyOG,10
oobunillaoo,10
BhutanOrient,10
Twinscream1,10
hadAbadWeek,10
realmattberry,10
bugstory,10
BigDavew2k,9
jadedhippie09,9
FahadHassan,9
JohnFMacky,9
WishUpon_26,9
dlm_3,9
elisakathleen,9
8629Fissile,9
PhilHagen,9
wmrrock,9
kaf_silva,9
Gouwerijn,9
themkhiggy,9
SSest72,9
yorkshire2002,9
chrisseifert83,9
annricord,9
JunkyardFiegs,9
dmb41shows,9
Andyba25,9
CineDrones,9
POnions,9
Spencerklein,9
ELLLORRAC,9
AshleyKAtherton,8
observepeople,8
SentieriMelinda,8
nydia376,8
whyemes,8
dwjudson,8
ZKatcher,8
WM_j_MW,8
SweetingR,8
